Country;CheeseKg;WineBottle;ImportedBeer;CigsPack;Utilities;Internet;BeefKg
Albania;6,07;6,94;1,41;3,17;82,29;21,08;8,5
Algeria;5,88;6,07;1,69;2,05;36,97;42,8;10,61
Argentina;5,53;2,52;1,75;2,17;55,9;24,11;4,96
Armenia;4,53;6,11;1,31;1,59;78,66;17,53;6,87
Australia;8,12;11,44;4,55;26,68;167,36;57,46;13,28
Austria;14,12;8,58;1,85;6,74;241,87;39,23;18,97
Azerbaijan;3,54;5,87;2,09;2,94;45;17,78;6,91
Bahrain;5,5;21,22;4,33;5,57;170,11;58,13;8,65
Bangladesh;8,16;9,43;5,19;3,3;40,07;30,73;6,87
Belarus;5,76;7;1,64;1,51;48,3;11,41;5,93
Belgium;15,27;7,97;2,23;8,34;170,07;56,79;17,61
Bolivia;4,38;5,44;2,9;2,36;36,09;58,38;6
Bosnia And Herzegovina;6,71;5,01;1,1;3,57;154,94;26,86;8,64
Brazil;5,95;5,88;2,33;1,96;61,93;22,3;5,66
Bulgaria;6,58;5,63;1,41;3,68;116,84;12,82;8,94
Canada;9,85;11,73;2,93;11,73;126,15;60,74;11,88
Chile;9;5,51;2,38;5,51;137,87;36,21;9,39
China;14;12,24;2,01;3,06;55,73;14,79;12,11
Colombia;3,34;8,79;1,63;2,28;75,62;30,76;4,8
Costa Rica;5,95;11,55;3,09;3,98;70,83;54,05;8,3
Croatia;13,25;6,51;2,19;4,88;201,89;32,63;12,73
Cyprus;10,37;8,58;2,51;6,01;164,33;47,34;11,37
Czech Republic;9,86;5,63;1,49;5,16;207,77;21,29;11,22
Denmark;13,3;9,89;2,88;8,24;207,74;40,98;15,66
Dominican Republic;6,32;8,6;2,99;4,21;64,23;47,83;5,73
Ecuador;4,44;10;2,59;5,25;44,95;41,4;6,3
Egypt;3,37;9,55;2,5;2,74;30,34;17,9;8,77
Estonia;8,33;8,58;1,98;5,58;216,5;28,54;11,43
Finland;7,91;14,71;3,43;9,81;124,34;29,69;16,55
France;18,82;8,58;2,78;12,26;178,42;33,46;19,82
Georgia;4,48;4,55;1,28;1,97;59,8;14,3;6,46
Germany;9,75;6,13;1,63;8,21;270,98;39,48;12,33
Greece;9,73;7,35;2,42;5,64;183,93;38,98;11,05
